Data; Tipo; Ativo; Quantidade; Preco; Corretagem; Taxas Liquidação; Emolumentos; ISS; IRRF; Outras Taxas;
23/04/2021; Compra; ETH/BRL; 0,059047; 12752,39; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;
27/05/2021; Compra; ITSA3; 1000; 10,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;
